,mol_index,smile_list
74,[ 73 150  53  69],CC(C)[C@@H](O)[C@@H]([NH]C(=O)/C=C\[C@H](CO)[NH]C(=O)[C@H]1C[C@H](Cl)CN[NH2]1)C(=O)[NH][C@H](CCCCN)C(O)=O
75,[ 86 101  28 178],CC/C=C(/[NH]C(=O)[C@H]([C@@H](C)CC)[NH](C)C(=O)[C@@H]1C[C@H](C)C[NH2]1)C(=O)[NH]1CCCC[C@@H]1C(O)=O
76,[118  81  10 136],C=C(/C=C/C(=O)[NH](C)[C@H](Cc1ccccc1)C(=O)[NH][C@H](C(O)=O)[C@H](O)C(=O)O)[NH]C(=O)[C@@H](N)CCS(C)(=O)=O
77,[151  66 209  12],C=C(/C=C/C(O)=O)[NH]C(=O)C[C@@H]([NH]C(=O)[C@@H]([NH]C(=O)[C@@H](C)N)[C@@H](C)OC)C(O)=O
78,[ 80 128 156   2],C[NH2][C@H](SC)C(=O)[NH][C@H](CCCCN)C(=O)[NH][C@@H](CO)[C@@H](O)CC(=O)N[C@@H](C(O)=O)[C@@H](C)N
79,[122 173 154 137],CCC[C@H](CC(=O)[NH][C@H](C(=O)C(=O)N[C@@]1(C(O)=O)CCC[NH2]O1)[C@H](C)CC)[NH]C(=O)C[C@H](O)[C@@H](N)CC(C)C
80,[184 132 195 117],CC(C)C[C@H]([NH]C(=O)[C@H]1CCCC[NH2]1)C(=O)C(=O)[NH]C[C@@H](O)CC(=O)[NH][C@H](Cc1ccc(O)cc1)C(O)=O
81,[213  35 113 163],CC(C)[C@@H](Cl)[C@@H]([NH]C(=O)[C@@H](C)C[NH]C(=O)/C=C/[C@@H](N)CO)C(=O)[NH]1NCCC[C@@H]1C(O)=O
82,[ 33  28 174  39],CC[C@@H](C)C[C@@H](C(O)=O)[NH](C)C(=O)[C@@H]([NH]C(=O)[C@@H](CCCCN)[NH]C(=O)[C@@H](N)[C@H](Cl)C(C)C)[C@@H](O)C(=O)O
83,[165   6 132  70],NC(N)=NCCCC(N)C(=O)C(=O)NC(N)=NCCCC(N)C(=O)C(=O)[NH]1CCCC[C@@H]1C(=O)[NH]CCC(O)=O
84,[213  29 175  85],CC/C=C(/[NH]C(=O)[C@@H](N)CCc1ccccc1)C(=O)[NH][C@H](Cc1c[nH]c2ccccc12)C(=O)[NH][C@H](CSC)C(O)=O
85,[165 177  83 100],CC[C@H](C)[C@H]([NH]C(=O)[C@H](C)[C@@H](CC)[NH]C(=O)[C@@H]1C[C@H](C)C[NH]1C(=O)C1=CCC[NH2]1)C(=O)C(O)=O
86,[132  53 144 217],C[NH2][C@H](C(=O)[NH][C@H](C(=O)[NH](O)[C@H](C(=O)[NH]c1c(C(O)=O)ccc(C)c1O)[C@@H](C)O)[C@H](C)C(=O)O)C(C)C
87,[ 51  61  86 120],CC[C@H](C)[C@H]([NH]C(=O)[C@@H]([NH2]C)C(C)C)C(=O)C(=O)[NH][C@H](Cc1cnc[nH]1)C(=O)[NH][C@H](/C=C\C(O)=O)CO
88,[210  62  64 148],CC[C@H](C)[C@H]([NH2]C)C(=O)[NH](C)[C@H](C(=O)N[C@]1(C(=O)[NH]Cc2nc(C(O)=O)cs2)CCC[NH2]O1)[C@H](C)CC
89,[205 116  12  28],C[NH2][C@@H](Cc1ccoc1)C(=O)[NH][C@H](C(=O)[NH]1CCC[C@H]1[C@H](O)[C@@H](C)C(=O)[NH]c1ccc(O)cc1C(O)=O)[C@@H](C)OC
90,[75 77 84  5],CCC[C@@H]([NH]C(=O)[C@@H](C)C[NH]C(=O)[C@H](O)[C@@H](CCC(C)C)[NH]C(=O)/C=C\[C@@H](N)CO)[C@H](C)C(O)=O
91,[ 34   9 125 137],CC[C@H]([NH]C(=O)[C@@H]([NH2]C)[C@H](C)C(C)C)[C@H](C)C(=O)[NH][C@@H](CC(=O)[NH](C)[C@H](C(O)=O)[C@H](C)CCO)c1ccccc1
92,[136 119  43 128],CC(C)C[C@@H]([NH]C(=O)c1coc([C@H](C)N)n1)[C@@H](O)CC(=O)[NH](C)[C@@H](Cc1ccc(O)cc1)C(=O)[NH]C[C@H](O)CC(O)=O
93,[  8 172  77 145],CC[C@@H](C)[C@@H](C(O)=O)[NH](C)C(=O)C[NH](CC(=O)O)C(=O)[C@@H](Cc1ccccc1)[NH]C(=O)[C@H]1C[C@H](Cl)CN[NH2]1
94,[109 181 188 127],CCC[C@@H](N)[C@@H](C)C(=O)[NH](C(=N)N)[C@H](CO)C(=O)[NH][C@H](C)[C@H](O)[C@@H](C)C(=O)[NH]c1ccc(O)cc1C(O)=O
95,[ 6 36 69  9],CC(C)C[C@@H](C(=O)[NH](C)[C@@H](Cc1ccccc1)C(=O)[NH]1C(C(O)=O)=CC(Br)=C1Br)[NH](C)C(=O)[C@H](N)CCCN
96,[ 19   8 173  43],CC[C@@H](N)[C@@H](C)C(=O)[NH][C@H](CC(C)C)C(=O)[NH][C@H](CC)[C@@H](C)C(=O)[NH]/C=C/C(C)=C\C/C=C/C(O)=O
97,[102  87 170  66],CO[C@H](CC(=O)[NH][C@H](Cc1c[nH]c2ccccc12)C(=O)[NH][C@H](C(O)=O)[C@@H](O)C(=O)O)[C@H](C(C)C)[NH](C)C(=O)[C@@H]1CCCN[NH2]1
98,[147  60 197  52],CC(C)CC[C@@H]([NH]C(=O)[C@@H](C)[C@@H]([NH]C(=O)[C@H](N)CCCNO)C(=O)[NH][C@H](/C=C\C(O)=O)CO)[C@@H](O)C(O)=O
99,[148  40 129  78],COc1ccc(C(=O)[NH][C@H](/C=C\C(=O)[NH](C)[C@@H](C=C(C)C)C(=O)[NH][C@H](C(O)=O)[C@@H](C)OC)CC(C)C)c(N)c1
100,[173  25  77  90],C=C(N)/C=C/C(=O)[NH][C@@H](C(=O)[NH][C@H](c1nc(C(=O)[NH]/C(=C\CCN)C(O)=O)c(C)o1)[C@@H](C)CC)[C@H](C)C(=O)O
101,[190  43  60  31],CC(C)C[C@H](N)[C@@H](O)CC(=O)[NH]Cc1nc(C(=O)[NH]CCC(=O)[NH][C@H](C(O)=O)[C@@H](O)C(=O)O)cs1
102,[133   7   6 107],CC[C@H]([NH]C(=O)[C@H]1C[C@@H](O)C[NH2]1)[C@H](C)C(=O)[NH]1C[C@@H](C)C[C@H]1C(=O)NC[C@@H](O)[C@@H](N)C(O)=O
103,[153 115 115 156],C/C=C(\[NH]C(=O)[C@@H](Cc1c[nH]c2ccccc12)[NH]C(=O)[C@H](c1ccccc1)[NH](C)C(=O)[C@H]1[NH2]C/C(=C/C)[C@H]1C)C(O)=O
104,[167 120 110  19],C/C=C(\C(O)=O)[NH](C)C(=O)[C@H](C)[C@H](O)[C@H](C)[NH]C(=O)C[NH](CC)C(=O)[C@H](C)[C@H](N)CCCCC
105,[156  28 163  35],C[C@@H](/C=C/C(O)=O)[NH]C(=O)C[C@@H]([NH]C(=O)[C@@H]1CC(/C=C/C(=O)NC(=O)C[NH2]O)=C[NH2]1)C(O)=O
106,[ 94   8  69 219],CC[C@@H](C)[C@@H](C(=O)NC(N)=NCCCC(N)C(=O)C(=O)[NH]/C=C/C(C)=C\C/C=C/C(O)=O)[NH](C)C(=O)C[C@H]([NH2]C)C(O)=O
107,[161 179  16  93],CC[C@H](C)[C@@H](C(=O)NCC[C@H](N)C(=O)[NH][C@H](/C=C\C(O)=O)CO)[NH](C)C(=O)C[C@H](O)[C@@H](N)CO
108,[ 92  52 213 217],CSCC[C@@H](N)C(=O)[NH][C@H](C(=O)NC[C@@H](O)[C@@H](N)C(=O)[NH](C)[C@H](C(O)=O)[C@@H](C)O)[C@@H](C)[C@@H](C)C(=O)O
109,[ 72  76  77 176],NCCC[C@H](N)C(=O)[NH]1C(C(=O)[NH][C@H](Cc2ccc(O)cc2)C(=O)[NH][C@H](C(O)=O)C(=O)c2ccccc2)=CC(Br)=C1Br
110,[200  33 181  17],CC(C)[C@@H](O)[C@@H]([NH]C(=O)[C@H]([C@@H](C)O)[NH](O)C(=O)[C@@H](C)[C@H]([NH]C(=O)[C@H](N)[C@H](O)c1ccccc1)C(O)=O)C(O)=O
111,[  0 117 200 131],CCC[C@@H]([NH]C(=O)C(=O)[C@@H](N)[C@@H](C)CC)[C@@H](C)C(=O)[NH][C@H](CC(C)C)[C@@H](O)CC(=O)[NH]C[C@@H](O)C(O)=O
112,[186  35  20 108],C[C@@H](/C=C/C(O)=O)[NH]C(=O)C(=O)C(N)CCCN=C(N)NC(=O)C[C@H](C)[C@@H](N)C(=O)[NH][C@@H](C)C(=O)C(C)(C)C(O)=O
113,[211 167 203 172],CC[C@@H](C)C[C@@H](C(O)=O)[NH](C)C(=O)C1=C(Br)C(Br)=C(Br)[NH]1C(=O)[C@H]([NH]C(=O)/C=C/[C@@H](N)CO)[C@H](O)c1ccccc1
114,[ 66 121 218  78],CC[C@H](C)[C@H]([NH2]C)C(=O)[NH](O)[C@H](C(=O)[NH](C)[C@H](C(=O)[NH][C@H](CS)C(O)=O)[C@@H](C)CC)[C@@H](C)O
115,[155 206 126 122],C/C=C/C[C@H]([NH]C(=O)[C@@H](SC)[NH](C)C(=O)[C@H](C)[C@@H](O)[C@@H]1CCC[NH2]1)C(=O)[NH][C@H](/C=C/C(O)=O)CO
116,[ 20 119 102  76],CC/C=C(/N)C(=O)[NH][C@H](C)c1nc(C(=O)[NH](C)[C@H](C(=O)[NH][C@H](CCC(C)C)[C@@H](O)C(O)=O)C(C)C)cs1
117,[ 15  65  52 123],CC[C@H]([NH]C(=O)[C@@H](Cc1ccc(O)cc1)[NH]C(=O)C[C@@H](OC)[C@H](C(C)C)[NH](C)C(=O)[C@H](O)CN)[C@H](C)C(O)=O
118,[ 71 215  81 197],CO/C(=C/C(=O)[NH]1C[C@H](O)C[C@@H]1C(O)=O)CC[NH]C(=O)/C=C(\CC[NH]C(=O)C1=CC(Br)=C(Br)[NH2]1)OC
119,[169 193 155 181],CC[C@H]([NH]C(=O)[C@H](C)[NH](C)C(=O)[C@H](N)CSC)[C@H](C)C(=O)[NH](C)[C@H](Cc1ccccc1)C(O)=O
120,[  5 132 219 108],CC(=C/C=C/CC(=O)[NH][C@@H](C)c1nc(C(=O)[NH][C@H](C)c2nc(C(O)=O)cs2)co1)/C=C/[NH]C(=O)[C@H](N)[C@H](C)C(=O)O
121,[131  92 214  51],C[C@H](N)C1=N[C@H](C(=O)NC(=O)/C=C/C2=C[NH2][C@H](C(=O)[NH](C)[C@H](C(=O)[NH]3C[C@H](O)C[C@H]3C(O)=O)[C@H](C)CCO)C2)CS1
122,[192 186 150 148],CC[C@@H](C)[C@@H](C(O)=O)[NH](C)C(=O)C(=O)[C@H]([NH]C(=O)C1=C(Br)C(Br)=C(Br)[NH]1C(=O)C[NH2]O)[C@H](C)CC
123,[ 32  31 175 166],CC[C@H](C)[C@@H](C(=O)[NH][C@H](CCCCN)C(O)=O)[NH](C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)[NH]C(=O)[C@H]1CCC[NH2]1
124,[147 200  73 219],CC[C@@H](C)[C@@H](C(=O)[NH][C@@H](CN)C(=O)[NH]1CCC[C@H]1[C@H](OC)[C@@H](C)C(O)=O)[NH](C)C(=O)[C@H](N)CCCN
125,[ 82 208 139  92],CC[C@@H](N)[C@@H](C)C(=O)[NH]1C(Br)=C(Br)C(Br)=C1C(=O)[NH]1CCCC[C@@H]1C(=O)[NH][C@H](C(O)=O)[C@H](O)CC(=O)O
126,[143 215 208 125],CC[C@H](C)[C@@H](C(=O)[NH](C)[C@H](SC)C(=O)[NH][C@H](CS)C(O)=O)[NH](C)C(=O)C(=O)C(N)CCCN=C(N)N
